0,26.409
1,92.359
2,202.657
3,226.966
4,227.564
5,271.023
6,308.854
7,444.247
8,516.690
9,523.040
10,551.827
11,556.975
12,587.842
13,777.731
14,819.441
15,1094.335
16,1125.175
17,1200.908
18,1202.766
19,1212.409
20,1224.420
21,1232.170
22,1260.648
23,1319.316
24,1709.614
25,1787.799
26,3170.467
27,3536.044
28,3582.370
29,3619.043
30,3634.586
31,3639.659
32,3655.226
33,3696.042
34,3730.660
35,3768.007
36,3788.248
37,3795.982
38,3806.235
39,3820.907
40,3845.642
41,3862.960
42,3908.878
43,4153.183
44,4379.923
45,4408.850
46,4645.100
47,4674.932
48,4864.643
49,4877.590
50,5073.082
51,5189.733
52,5205.391
53,5224.194
54,5236.738
55,5245.821
56,5326.616
57,5368.346
58,5389.557
59,5645.786
60,5657.659
61,5732.122
62,5746.724
63,5879.872
64,5902.595
65,5931.758
66,5983.013
67,6000.520
68,6085.814
69,6094.157
70,6150.092
71,6191.676
72,6251.555
73,6268.365
74,6331.691
75,6349.410
76,6399.188
77,6435.977
78,6447.608
79,6456.100
80,6515.997
81,6539.255
82,6569.589
83,6815.744
84,7603.374
85,9387.066
86,12408.290
87,12914.544
88,12943.981
89,12964.685
90,12980.566
91,12993.412
92,13006.664
93,13019.004
94,13038.453
95,13066.288
96,13096.946
97,15383.277
98,15420.740
99,16573.059
